timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1715850750.3771653,-0.6728471,-0.0031957906,-0.6821681,-0.6728471,-0.0031957906,-0.6821681
1715850750.3792055,-0.6728471,-0.0031957906,-0.6821681,-0.6728471,-0.0031957906,-0.6821681
1715850750.3814032,-0.6728471,-0.0031957906,-0.6821681,-0.6728471,-0.0031957906,-0.6821681
1715850750.3858125,-0.6217144,0.098004244,-0.6811029,-0.6217144,0.098004244,-0.6811029
1715850750.3878498,-0.6217144,0.098004244,-0.6811029,-0.6217144,0.098004244,-0.6811029
1715850750.39005,-0.6217144,0.098004244,-0.6811029,-0.6217144,0.098004244,-0.6811029
1715850750.3920736,-0.6217144,0.098004244,-0.6811029,-0.6217144,0.098004244,-0.6811029
1715850750.3973832,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.3998363,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.4021528,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.4044101,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.4066045,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.4085774,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.4105413,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.412578,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.414612,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.416803,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.4190369,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.4213307,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.4233012,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.4252582,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.427415,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.4295006,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.4316926,-0.5865607,0.19387797,-0.6597976,-0.5865607,0.19387797,-0.6597976
1715850750.4457672,-0.09334372,0.42184436,-0.6629934,-0.09334372,0.42184436,-0.6629934
1715850750.4504526,-0.05179844,0.35792854,-0.6257092,-0.05179844,0.35792854,-0.6257092
1715850750.452717,-0.05179844,0.35792854,-0.6257092,-0.05179844,0.35792854,-0.6257092
1715850750.4548457,-0.05179844,0.35792854,-0.6257092,-0.05179844,0.35792854,-0.6257092
1715850750.4605415,-0.04008054,0.30892643,-0.5660544,-0.04008054,0.30892643,-0.5660544
1715850750.4626598,-0.04008054,0.30892643,-0.5660544,-0.04008054,0.30892643,-0.5660544
1715850750.464791,-0.04008054,0.30892643,-0.5660544,-0.04008054,0.30892643,-0.5660544
1715850750.4701161,-0.03901528,0.29188222,-0.52663964,-0.03901528,0.29188222,-0.52663964
1715850750.4750617,-0.009187898,0.24501061,-0.45846277,-0.009187898,0.24501061,-0.45846277
1715850750.4772372,-0.009187898,0.24501061,-0.45846277,-0.009187898,0.24501061,-0.45846277
1715850750.4793644,-0.009187898,0.24501061,-0.45846277,-0.009187898,0.24501061,-0.45846277
1715850750.4814093,-0.009187898,0.24501061,-0.45846277,-0.009187898,0.24501061,-0.45846277
1715850750.485888,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.4880412,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.4902546,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.492296,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.494464,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.4970415,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.4992187,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.5014193,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.5033963,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.5053992,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.5075948,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.5096447,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.511808,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.514038,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.516149,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.51835,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.520456,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.522636,0.06218476,0.1896169,-0.38389435,0.06218476,0.1896169,-0.38389435
1715850750.5368757,0.121839516,0.11185267,-0.32637012,0.121839516,0.11185267,-0.32637012
1715850750.5456522,0.1484711,0.08415582,-0.26458484,0.1484711,0.08415582,-0.26458484
1715850750.54794,0.1484711,0.08415582,-0.26458484,0.1484711,0.08415582,-0.26458484
1715850750.5500126,0.1484711,0.08415582,-0.26458484,0.1484711,0.08415582,-0.26458484
1715850750.554541,0.22836587,0.0031957906,-0.26991114,0.22836587,0.0031957906,-0.26991114
1715850750.5568116,0.22836587,0.0031957906,-0.26991114,0.22836587,0.0031957906,-0.26991114
